,parallax,parallax_error,pf,pf_error,int_average_g,int_average_g_error,int_average_bp,int_average_bp_error,int_average_rp,int_average_rp_error,absMag,type_best_classification
6429,0.0010011800666916,0.029339261,2.654368041063696,0.00019487191,16.029732,0.021619769,16.271015,0.017131442,15.498656,0.013512942,-9.498783028499368,DCEP
6430,0.0790969806781339,0.04748233,2.847360311694703,6.788456e-05,16.952496,0.0069284206,17.45226,0.011405273,16.262741,0.009020593,0.7535405287492871,DCEP
6431,0.0069738264418374,0.027616126,2.744647924201772,0.00017043228,15.952552,0.01709048,16.216045,0.027955474,15.437862,0.019792499,-5.344782325730979,DCEP
6432,-0.030452002250643,0.030756298,3.223505877245848,6.055104e-05,16.028896,0.014624495,16.330688,0.013480702,15.453633,0.010293926,,DCEP
6433,-0.0407300533092638,0.044937503,,,16.826267,0.0015857507,17.130165,0.0049104868,16.393353,0.0055820243,,DCEP
6434,0.0645748708204158,0.06250867,,,16.99121,0.022748003,17.245003,0.015796142,16.46353,0.009749399,0.5138477302827766,DCEP
6435,-0.0092939749061867,0.032718416,3.94043592858026,5.7379217e-05,15.846281,0.0024102267,16.225452,0.009245398,15.299702,0.0026273439,,DCEP
6436,-0.0589304053040446,0.05960849,14.850653117715307,0.0026242316,17.10278,0.0047263345,17.638767,0.012193448,16.267567,0.06048671,,T2CEP
6437,-0.0164436648677267,0.024413893,,,15.508486,0.0019404164,15.810257,0.0035431369,15.04332,0.0025916954,,DCEP
6438,-0.1232771846774847,0.10076935,,,18.104033,0.003932291,18.17967,0.02316627,17.63685,0.026135901,,DCEP
6439,0.0355983646884274,0.040417843,1.8294598646634816,4.3409527e-05,16.523272,0.004528167,16.802456,0.031187655,16.0828,0.008604593,-1.160049760571665,DCEP
6440,-0.030356281280775,0.03859922,,,16.532578,0.0013572719,16.903387,0.0040942864,15.9709015,0.004563708,,DCEP
6441,-0.0086060485135462,0.02469105,,,15.452337,0.0010890969,15.739842,0.0018714094,14.973754,0.0018314356,,DCEP
6442,0.008328380571483,0.017825762,9.21749849022349,0.001108802,14.632797,0.0009084902,14.9670515,0.016289389,14.084408,0.0050445036,-6.312789188189642,DCEP
6443,0.0925229740000174,0.08012941,,,17.858303,0.0034390897,18.294676,0.011551443,17.31944,0.0062084715,2.1506879200518405,DCEP
6444,0.1664908893745634,0.121326715,,,18.42613,0.0053817257,18.862146,0.023416156,17.950289,0.014932668,4.057241366310498,DCEP
